term.id,ecoinventMapping
monoammoniumPhosphateKgP2O5,monoammonium phosphate production
monoammoniumPhosphateKgN,monoammonium phosphate production
monopotassiumPhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
monopotassiumPhosphateKgK2O,"market for inorganic potassium fertiliser, as K2O"
phosphateRockKgP2O5,"market for phosphate rock, beneficiated"
singleSuperPhosphateKgP2O5,single superphosphate production
tripleSuperPhosphateKgP2O5,triple superphosphate production
enrichedSuperPhosphateKgP2O5,triple superphosphate production
phosphoricAcidKgP2O5,triple superphosphate production
superphosphoricAcidKgP2O5,triple superphosphate production
dicalciumPhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
trisodiumPhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
potassiumChlorideKgK2O,market for potassium chloride
potassiumNitrateKgK2O,market for potassium nitrate
potassiumNitrateKgN,market for potassium nitrate
potassiumSodiumNitrateKgN,"market for inorganic nitrogen fertiliser, as N"
potassiumSodiumNitrateKgK2O,"market for inorganic potassium fertiliser, as K2O"
potassiumSulphateKgK2O,market for potassium sulfate
potassiumMagnesiumSulphateKgK2O,"market for inorganic potassium fertiliser, as K2O"
manureSaltsKgK2O,"market for inorganic potassium fertiliser, as K2O"
potassiumCarbonateKgK2O,"market for inorganic potassium fertiliser, as K2O"
potassiumMetaphosphateKgP2O5,"market for inorganic potassium fertiliser, as K2O"
potassiumMetaphosphateKgK2O,"market for inorganic phosphorus fertiliser, as P2O5"
npBlendKgN,"market for inorganic nitrogen fertiliser, as N"
npBlendKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
nkBlendKgN,"market for inorganic nitrogen fertiliser, as N"
nkBlendKgK2O,"market for inorganic potassium fertiliser, as K2O"
pkBlendKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
pkBlendKgK2O,"market for inorganic potassium fertiliser, as K2O"
npkBlendKgN,"market for inorganic nitrogen fertiliser, as N"
npkBlendKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
npkBlendKgK2O,"market for inorganic potassium fertiliser, as K2O"
thomasSlagKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
machineryInfrastructureDepreciatedAmountPerCycle,"market for agricultural machinery, unspecified"
aluminiumDepreciatedAmountPerCycle,"market for metal working, average for aluminium product manufacturing"
concreteDepreciatedAmountPerCycle,"market for concrete, normal"
glassDepreciatedAmountPerCycle,"market for flat glass, uncoated"
ironDepreciatedAmountPerCycle,market for cast iron
lowDensityPolyethyleneDepreciatedAmountPerCycle,"polyethylene production, low density, granulate"
plasticTypeUnspecifiedDepreciatedAmountPerCycle,"market for polyvinylchloride, bulk polymerised"
polyethyleneDepreciatedAmountPerCycle,"polyethylene production, low density, granulate"
polypropyleneDepreciatedAmountPerCycle,"market for polypropylene, granulate"
polystyreneDepreciatedAmountPerCycle,"market for polystyrene, general purpose"
polyvinylChlorideDepreciatedAmountPerCycle,"market for polyvinylchloride, bulk polymerised"
reinforcingSteelDepreciatedAmountPerCycle,market for reinforcing steel
steelDepreciatedAmountPerCycle,market for reinforcing steel
woodMaterialDepreciatedAmountPerCycle,"market for sawnwood, softwood, dried (u=20%), planed"
aluminium,"market for metal working, average for aluminium product manufacturing"
concrete,"market for concrete, normal"
glass,"market for flat glass, uncoated"
iron,market for cast iron
lowDensityPolyethylene,"polyethylene production, low density, granulate"
plasticTypeUnspecified,"market for polyvinylchloride, bulk polymerised"
polyethylene,"polyethylene production, low density, granulate"
polypropylene,"market for polypropylene, granulate"
polystyrene,"market for polystyrene, general purpose"
polyvinylChloride,"market for polyvinylchloride, bulk polymerised"
reinforcingSteel,market for reinforcing steel
steel,market for reinforcing steel
woodMaterial,"market for sawnwood, softwood, dried (u=20%), planed"
lime,market for lime
agriculturalLimestone,"market for limestone, crushed, washed"
hydratedLime,"market for quicklime, milled, loose"
burntLime,"market for quicklime, milled, loose"
dolomiticLime,market for dolomite
freightTractorAndTrailer,"market for transport, freight, light commercial vehicle"
freightLorry,"market for transport, freight, light commercial vehicle"
freightLorryLightCommercialVehicle,"market for transport, freight, light commercial vehicle"
freightLorry32MetricTon,"market for transport, freight, lorry >32 metric ton, EURO5"
freightTrainUnspecified,"market for transport, freight train"
freightElectricTrain,"transport, freight train, electricity"
freightDieselTrain,"transport, freight train, diesel, with particle filter"
freightAircraft,"market for transport, freight, aircraft"
freightBarge,"market for transport, freight, inland waterways, barge"
chilledFreightLorry,"market for transport, freight, lorry with refrigeration machine, cooling"
chilledFreightLorryLightCommercialVehicle,"market for transport, freight, lorry with refrigeration machine, cooling"
chilledFreightLorry32MetricTon,"market for transport, freight, lorry with refrigeration machine, cooling"
chilledFreightTrain,"market for transport, freight, train with reefer, cooling"
chilledFreightAircraft,"market for transport, freight, aircraft with reefer, cooling"
chilledFreightTransoceanicShip,"market for transport, freight, sea, container ship with reefer, cooling"
frozenFreightLorry,"market for transport, freight, lorry with refrigeration machine, freezing"
frozenFreightLorryLightCommercialVehicle,"market for transport, freight, lorry with refrigeration machine, freezing"
frozenFreightLorry32MetricTon,"market for transport, freight, lorry with refrigeration machine, freezing"
frozenFreightTrain,"market for transport, freight, train with reefer, freezing"
frozenFreightAircraft,"market for transport, freight, aircraft with reefer, freezing"
frozenFreightTransoceanicShip,"market for transport, freight, sea, container ship with reefer, freezing"
